,Lead_ID,Lead_Source,Sales_Rep,Industry,Region,Created_Date,Qualified_Date,Demo_Date,Proposal_Date,Closed_Date,Deal_Status,Deal_Value,Qualified_Flag,Demo_Flag,Proposal_Flag,Won_Flag,Days_to_Qualify,Days_to_Demo,Days_to_Proposal,Days_to_Close
2173,LEAD_109812,Facebook,Rohit Kapoor,Finance,Unknown,2025-02-23 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-07 10:41:08.238817,2025-03-08 10:41:08.238817,2025-03-16 10:41:08.238817,Won,142374.0,1,1,1,1,8.0,4.0,1.0,8.0
8561,LEAD_100415,Website,Priya Mehta,Retail,West,2025-02-23 10:41:08.238817,2025-02-27 10:41:08.238817,2025-03-09 10:41:08.238817,2025-03-24 10:41:08.238817,2025-04-03 10:41:08.238817,Lost,0.0,1,1,1,0,4.0,10.0,15.0,10.0
6371,LEAD_104897,Website,Priya Mehta,IT,North,2025-02-23 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-06 10:41:08.238817,2025-03-12 10:41:08.238817,2025-03-16 10:41:08.238817,Won,5520.0,1,1,1,1,9.0,2.0,6.0,4.0
1647,LEAD_111087,Website,Rahul Sharma,IT,South,2025-02-23 10:41:08.238817,2025-03-02 10:41:08.238817,,,,Lost,0.0,1,0,0,0,7.0,,,
2494,LEAD_111258,Facebook,Rahul Sharma,Retail,West,2025-02-23 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-07 10:41:08.238817,,,Lost,0.0,1,1,0,0,6.0,6.0,,
4317,LEAD_113955,Website,Neha Singh,Unknown,East,2025-02-23 10:41:08.238817,2025-03-02 10:41:08.238817,2025-03-15 10:41:08.238817,,,Lost,0.0,1,1,0,0,7.0,13.0,,
11041,LEAD_106756,Website,Priya Mehta,Unknown,West,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
1291,LEAD_102431,Website,Nan,IT,North,2025-02-23 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-07 10:41:08.238817,,,Lost,0.0,1,1,0,0,8.0,4.0,,
8987,LEAD_102427,Facebook,Amit Verma,IT,North,2025-02-23 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-07 10:41:08.238817,,,Lost,0.0,1,1,0,0,8.0,4.0,,
5458,LEAD_106181,Website,Amit Verma,Retail,West,2025-02-23 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-25 10:41:08.238817,2025-03-29 10:41:08.238817,Lost,0.0,1,1,1,0,6.0,10.0,14.0,4.0
