Lead_ID,Lead_Source,Sales_Rep,Industry,Region,Created_Date,Qualified_Date,Demo_Date,Proposal_Date,Closed_Date,Deal_Status,Deal_Value
LEAD_107294,Google Ads,amit verma,Education,West,2025-10-21 10:41:08.238817,,,,,Lost,
LEAD_109216,,Rohit Kapoor,Healthcare,South,2026-01-31 10:41:08.238817,,,,,Lost,
LEAD_114365,website,rahul sharma,,South,2025-08-11 10:41:08.238817,2025-08-17 10:41:08.238817,2025-08-19 10:41:08.238817,,,Lost,
LEAD_103891,Referral,Rohit Kapoor,Healthcare,,2025-03-18 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-28 10:41:08.238817,2025-04-06 10:41:08.238817,2025-04-12 10:41:08.238817,Lost,
LEAD_108912,LinkedIn,rahul sharma,Finance,East,2025-07-08 10:41:08.238817,2025-07-15 10:41:08.238817,,,,Lost,
LEAD_104249,,,Education,North,2025-09-02 10:41:08.238817,2025-09-09 10:41:08.238817,2025-09-21 10:41:08.238817,2025-09-23 10:41:08.238817,2025-09-26 10:41:08.238817,Lost,
LEAD_111852,website,Rohit Kapoor,IT,North,2025-10-10 10:41:08.238817,,,,,Lost,
LEAD_100059,,Rohit Kapoor,,,2025-12-09 10:41:08.238817,2025-12-17 10:41:08.238817,2025-12-29 10:41:08.238817,,,Lost,
LEAD_107470,facebook ,PRIYA MEHTA,Education,South,2025-06-30 10:41:08.238817,2025-07-02 10:41:08.238817,2025-07-10 10:41:08.238817,,,Lost,
LEAD_104021,,,Healthcare,,2025-06-22 10:41:08.238817,2025-06-28 10:41:08.238817,2025-07-02 10:41:08.238817,,,Lost,
LEAD_108664,Google Ads,rahul sharma,Healthcare,West,2025-09-29 10:41:08.238817,2025-10-03 10:41:08.238817,2025-10-15 10:41:08.238817,2025-10-19 10:41:08.238817,2025-10-21 10:41:08.238817,Lost,
LEAD_108913,,,Finance,East,2025-08-14 10:41:08.238817,2025-08-23 10:41:08.238817,,,,Lost,
LEAD_114038,website,amit verma,IT,South,2025-09-15 10:41:08.238817,2025-09-19 10:41:08.238817,,,,Lost,
LEAD_115827,Facebook,rahul sharma,Education,East,2025-10-21 10:41:08.238817,2025-10-25 10:41:08.238817,,,,Lost,
LEAD_101670,LinkedIn,Neha Singh,Finance,,2025-12-10 10:41:08.238817,,,,,Lost,
LEAD_112181,facebook ,rahul sharma,Healthcare,East,2025-05-07 10:41:08.238817,2025-05-08 10:41:08.238817,2025-05-14 10:41:08.238817,2025-05-29 10:41:08.238817,2025-06-09 10:41:08.238817,Won,116446.0
LEAD_110833,website,rahul sharma,Education,East,2025-09-11 10:41:08.238817,2025-09-16 10:41:08.238817,2025-09-30 10:41:08.238817,2025-10-19 10:41:08.238817,2025-10-25 10:41:08.238817,Lost,
LEAD_103412,Website,amit verma,IT,East,2025-07-26 10:41:08.238817,2025-08-03 10:41:08.238817,2025-08-12 10:41:08.238817,,,Lost,
LEAD_107179,website,Neha Singh,Healthcare,East,2025-11-17 10:41:08.238817,2025-11-19 10:41:08.238817,,,,Lost,
LEAD_105798,google ads,Rahul Sharma,Healthcare,East,2025-02-25 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-30 10:41:08.238817,2025-04-11 10:41:08.238817,Won,190792.0
LEAD_101928,website,,Healthcare,North,2026-01-23 10:41:08.238817,2026-01-30 10:41:08.238817,,,,Lost,
LEAD_113942,LinkedIn,rahul sharma,Retail,East,2025-07-06 10:41:08.238817,2025-07-15 10:41:08.238817,2025-07-23 10:41:08.238817,2025-08-09 10:41:08.238817,2025-08-22 10:41:08.238817,Won,99621.0
LEAD_102210,google ads,,,South,2025-09-20 10:41:08.238817,,,,,Lost,
LEAD_105562,Facebook,Amit Verma,Finance,West,2025-09-05 10:41:08.238817,2025-09-07 10:41:08.238817,2025-09-13 10:41:08.238817,2025-09-29 10:41:08.238817,2025-10-07 10:41:08.238817,Won,152397.0
LEAD_115073,LinkedIn,rahul sharma,,,2025-10-02 10:41:08.238817,2025-10-08 10:41:08.238817,,,,Lost,
LEAD_117726,,amit verma,Retail,West,2025-08-28 10:41:08.238817,2025-09-05 10:41:08.238817,2025-09-16 10:41:08.238817,2025-10-01 10:41:08.238817,2025-10-09 10:41:08.238817,Won,156630.0
LEAD_114421,Website,amit verma,Education,,2025-06-21 10:41:08.238817,,,,,Lost,
LEAD_109780,Referral,Amit Verma,Education,North,2025-10-30 10:41:08.238817,2025-11-03 10:41:08.238817,,,,Lost,
LEAD_111031,Google Ads,,,North,2025-05-19 10:41:08.238817,,,,,Lost,
LEAD_114059,facebook ,,IT,North,2025-09-15 10:41:08.238817,2025-09-22 10:41:08.238817,,,,Lost,
LEAD_106741,Facebook,,Education,West,2025-11-18 10:41:08.238817,2025-11-19 10:41:08.238817,2025-11-22 10:41:08.238817,2025-12-07 10:41:08.238817,2025-12-20 10:41:08.238817,Won,119540.0
LEAD_114063,Referral,Rohit Kapoor,Education,East,2025-10-29 10:41:08.238817,2025-11-06 10:41:08.238817,,,,Lost,
LEAD_112312,,Priya Mehta,Healthcare,West,2025-08-02 10:41:08.238817,2025-08-08 10:41:08.238817,,,,Lost,
LEAD_101542,Google Ads,Priya Mehta,Healthcare,West,2025-07-13 10:41:08.238817,2025-07-22 10:41:08.238817,,,,Lost,
LEAD_100615,LinkedIn,Rahul Sharma,,,2025-03-31 10:41:08.238817,2025-04-03 10:41:08.238817,,,,Lost,
LEAD_104478,Website,Rahul Sharma,Education,North,2025-04-23 10:41:08.238817,,,,,Lost,
LEAD_102663,facebook ,amit verma,Healthcare,North,2025-03-10 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-18 10:41:08.238817,,,Lost,
LEAD_116174,Google Ads,Neha Singh,Retail,,2025-08-12 10:41:08.238817,2025-08-19 10:41:08.238817,2025-08-25 10:41:08.238817,,,Lost,
LEAD_104671,website,rahul sharma,Education,East,2025-11-24 10:41:08.238817,2025-11-30 10:41:08.238817,2025-12-08 10:41:08.238817,,,Lost,
LEAD_112168,facebook ,Priya Mehta,Education,,2025-08-02 10:41:08.238817,2025-08-07 10:41:08.238817,,,,Lost,
